,LU1919842267,LU1883854199,LU1893597309,FR0010983924,LU0154236417,LU1103207525,LU0072462186,LU1191877379,LU1161527038,LU1160351208,LU1279613365,LU1244893696,LU1882449801,FR0011288513
LU1919842267,0.0002125350669141608,0.00017973339234338885,7.779593740591591e-05,4.083752838256037e-05,6.803403898773301e-05,3.0951097801792864e-05,6.011692107954951e-05,6.403794354066294e-06,4.637232664747065e-06,4.578117161444441e-06,6.295853921199781e-05,0.0001343361881997049,3.437210550426597e-05,1.1110941559849509e-05
LU1883854199,0.00017973339234338885,0.00019061740710043626,6.643003687762011e-05,2.8545749365693604e-05,6.273703920809094e-05,2.756290095851606e-05,5.7689421463616485e-05,3.554039480412573e-06,1.9695310724416786e-06,-5.469304662497163e-07,4.235991389643037e-05,0.0001327994623996435,3.567870188102549e-05,1.0202992116341212e-05
LU1893597309,7.779593740591591e-05,6.643003687762011e-05,0.00014169783059519653,4.325111220031015e-05,0.0001093034209485125,3.5399070196050095e-05,0.00010863147836284263,1.6234961028999558e-05,1.0912066090890798e-05,2.3810547918266755e-05,7.864396466347376e-05,7.066897761164848e-05,2.189418948055978e-05,1.4701742438387726e-05
FR0010983924,4.083752838256037e-05,2.8545749365693604e-05,4.325111220031015e-05,0.0001417115338338139,4.671450147827059e-05,8.32521996530905e-06,3.249886250129238e-05,1.1245381057561198e-05,6.323305616142331e-06,1.0641866993346855e-05,5.258194537565271e-05,3.50382299661036e-05,2.0002993694502597e-05,7.551123622157104e-06
LU0154236417,6.803403898773301e-05,6.273703920809094e-05,0.0001093034209485125,4.671450147827059e-05,0.00013664354642089352,2.712877348945856e-05,0.00010256835848201063,1.6677775292346876e-05,7.648379131659891e-06,1.8558842147306254e-05,7.45465570265777e-05,7.095224522681045e-05,2.9228926081157207e-05,1.2792299722620113e-05
LU1103207525,3.0951097801792864e-05,2.756290095851606e-05,3.5399070196050095e-05,8.32521996530905e-06,2.712877348945856e-05,1.8365106874588458e-05,3.485070629209717e-05,5.937908752963732e-06,4.647009781883297e-06,1.0087946620463236e-05,2.3202909545906584e-05,2.8345499416271142e-05,5.512362258153796e-06,5.590831298340617e-06
LU0072462186,6.011692107954951e-05,5.7689421463616485e-05,0.00010863147836284263,3.249886250129238e-05,0.00010256835848201063,3.485070629209717e-05,0.00013391929688567807,1.9593429727775347e-05,1.0881145765637075e-05,2.4278306888663814e-05,7.983205192013486e-05,7.526205551181014e-05,2.3995947503788296e-05,1.59523410191168e-05
LU1191877379,6.403794354066294e-06,3.554039480412573e-06,1.6234961028999558e-05,1.1245381057561198e-05,1.6677775292346876e-05,5.937908752963732e-06,1.9593429727775347e-05,1.67701161356432e-05,5.619817590305572e-06,8.222093084571364e-06,2.079041103488161e-05,9.431986575187862e-06,9.541105408655133e-06,6.865359982260748e-06
LU1161527038,4.637232664747065e-06,1.9695310724416786e-06,1.0912066090890798e-05,6.323305616142331e-06,7.648379131659891e-06,4.647009781883297e-06,1.0881145765637075e-05,5.619817590305572e-06,7.4532734075845375e-06,8.308844919053153e-06,9.709703118680898e-06,4.994542672796675e-06,5.507840887827114e-06,4.200542043610655e-06
LU1160351208,4.578117161444441e-06,-5.469304662497163e-07,2.3810547918266755e-05,1.0641866993346855e-05,1.8558842147306254e-05,1.0087946620463236e-05,2.4278306888663814e-05,8.222093084571364e-06,8.308844919053153e-06,6.343664696659422e-05,2.04325910602527e-05,9.280270578021154e-06,6.518300285042718e-06,5.643226934554037e-06
LU1279613365,6.295853921199781e-05,4.235991389643037e-05,7.864396466347376e-05,5.258194537565271e-05,7.45465570265777e-05,2.3202909545906584e-05,7.983205192013486e-05,2.079041103488161e-05,9.709703118680898e-06,2.04325910602527e-05,0.0001460859253067744,6.079795696813341e-05,2.06467800996921e-05,1.4105830700603351e-05
LU1244893696,0.0001343361881997049,0.0001327994623996435,7.066897761164848e-05,3.50382299661036e-05,7.095224522681045e-05,2.8345499416271142e-05,7.526205551181014e-05,9.431986575187862e-06,4.994542672796675e-06,9.280270578021154e-06,6.079795696813341e-05,0.0001226395120155059,3.1190612248280704e-05,1.182815077887627e-05
LU1882449801,3.437210550426597e-05,3.567870188102549e-05,2.189418948055978e-05,2.0002993694502597e-05,2.9228926081157207e-05,5.512362258153796e-06,2.3995947503788296e-05,9.541105408655133e-06,5.507840887827114e-06,6.518300285042718e-06,2.06467800996921e-05,3.1190612248280704e-05,4.5294754075152e-05,6.859173300256843e-06
FR0011288513,1.1110941559849509e-05,1.0202992116341212e-05,1.4701742438387726e-05,7.551123622157104e-06,1.2792299722620113e-05,5.590831298340617e-06,1.59523410191168e-05,6.865359982260748e-06,4.200542043610655e-06,5.643226934554037e-06,1.4105830700603351e-05,1.182815077887627e-05,6.859173300256843e-06,5.7601272387232374e-06
